"#","RefDes","Name","Value","Quantity","Pattern","Manufacturer","RefDes"
"1","ARDUINO2","Arduino Uno","","1","Arduino UNO","",""
"2","C1, C2","CAP","","2","DIO_0805","",""
"3","D2","LED-4R_Green","4mm Round","1","DIO_0805","Kingbright","http://datasheets.diptrace.com/sensors_led/WP44GD.pdf"
"4","POT1","CA14","","1","CA9","",""
"5","R1, R3, R4","RES_1206","","3","RES_0805","",""
"6","U1","Untitled","","1","TO-8","",""
"7","U2","INA169","","1","SOT23-5","",""
"8","U3","AMPLIFIER","OPA340","1","SOT23-5","",""
"9","U4.1","MOTOR_DC","","1","Motor","",""
"10","U4.2","Hall Encoder","","1","DC motor + encoder","",""
"","","","","13","","",""
